brand,model,recommended_tension_lbs,string_length,string_pattern,main_holes_skipped,main_holes_tied,cross_holes_started,cross_holes_tied
"Wilson","AIRE SHELL 3.0 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","AIRE SHELL 3.0 95","45 - 55","19'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","AIRE SHELL 4.5 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","9B","8T","6T - 12B"
"Wilson","AIRE SHELL 4.5 95","48 - 58","19'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","6T - 12B"
"Wilson","AIRE SHELL 5.5 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","9B","8T","6T - 12B"
"Wilson","AIRE SHELL 5.5 95","55 - 65","18'M - 17'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","BLADE 104 GRAPHITE BASALT MATRIX","49 - 59","22'M - 18'C","18M X 19C","9T - 9B","7B","9T","6T - 13B"
"Wilson","BLADE 104 SW AUTOGRAPH COUNTERVAIL","50 - 60","22'M - 19'C","18M X 19C","9T - 9B","7B","9T","6T - 12B"
"Wilson","BLADE 98 COUNTERVAIL (16X19)","50 - 60","20'M - 19'C","16M X 19C","8T - 8B","7T","8T","6T - 11B"
"Wilson","BLADE 98 COUNTERVAIL (18X20)","50 - 60","20'M - 19'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 6B"
"Wilson","BLADE 98 L COUNTERVAIL","50 - 60","20'M - 19'C","16M X 19C","8T - 8B","7T","8T","6T - 11B"
"Wilson","BLADE 98 S","50 - 60","20'M - 18'C","18M X 16C","8,10T - 8,10B","9B","8T","6T - 7B"
"Wilson","BLADE 98 S COUNTERVAIL","50 - 60","20'M - 19'C","18M X 16C","8,10T - 8,10B","9B","8T","6T - 7B"
"Wilson","BLADE NINETY-EIGHT (98 BLX) 16x19","50 - 60","20'M - 18'C","16M X 19C","8T - 8B","5T","8T","9T - 6B"
"Wilson","BLADE NINETY-THREE (93 BLX)","50 - 60","20'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","BLADE NINTEY-EIGHT (98 BLX) 18x20","50 - 60","22'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","BLADE ONE HUNDRED FOUR (104 BLX)","53 - 63","22'M - 18'C","18M X 19C","9T - 9B","7B","9T","6T - 11B"
"Wilson","BLX BLADE 98","50 - 60","20'M - 17'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","BLX BLADE LITE","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","5T","7T","4T - 12B"
"Wilson","BLX BLADE TEAM","53 - 63","20'M - 18'C","18M X 19C","8,10T - 8,10B","7B","9T","6T - 13B"
"Wilson","BLX BLADE TOUR","50 - 60","20'M - 17'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","BLX BOLD","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 5B"
"Wilson","BLX CIERZO TWO","55 - 65","20'M - 18'C","16M X 19C","7,9T - 8B","6B","7T","5T - 11B"
"Wilson","BLX CIRRUS ONE FX 118","55 - 65","21'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
